PlayerName,DUPR,Dink_Pct,Hard_Hit_Pct,Error_Rate,TotalShots,Playstyle_Cluster,PCA1,PCA2
Nate Otto,4.607,0.2923076923076923,0.7076923076923077,0.03690018229399682,65.0,0,1.557027463752455,0.2691587521212496
Nate Steele,4.53,0.15421686746987953,0.8457831325301205,0.11182913472070098,138.0,1,-1.0133916103650649,2.1677944708580843
Nathan Fort,4.383,0.030771360089187155,0.9692286399108129,0.046875,64.0,2,-1.984218503610389,-0.45967375864485466
Nathan Poteet,5.322470199948271,0.38276179961725454,0.6172382003827455,0.019291321075498278,1651.0,0,2.9241991075139184,0.05711264180888245
Nathan Rininger,4.53,0.29365079365079366,0.7063492063492064,0.05555555555555555,126.0,0,1.3870668757033175,0.8860849315242081
Nelson Acosta,4.214,0.1111111111111111,0.8888888888888888,0.02213289517342475,72.0,2,-0.6783726944190558,-0.9463710370490063
Nick L,5.11,0.4356955380577428,0.5643044619422573,0.005249343832020997,381.0,0,3.761856453184402,-0.18948073613548175
Nick M,4.11,0.11013986013986014,0.8898601398601399,0.06993006993006992,185.0,1,-1.17188336393991,0.616451013209076
Nick Meale,5.275,0.18518518518518517,0.8148148148148148,0.09259259259259259,108.0,1,-0.41247824433084956,1.6622562438984194
Nick Peterson,4.436,0.09091676182553692,0.9090832381744631,0.13279530447542187,76.0,1,-2.0570766572413577,2.5995078312144426
Nick Schulkin,4.32,0.27941176470588236,0.7205882352941176,0.027058823529411767,585.0,0,1.486343247184315,-0.10549061808995894
Nico Perez,4.11,0.25131485429992895,0.748685145700071,0.040157714785074836,172.0,0,0.9849387559813767,0.2104532341332231
Nicole Demaise,3.254,0.028985507246376812,0.9710144927536232,0.028985507246376812,69.0,2,-1.8277860472167158,-1.0532824970557597
Nicole Eugenio,5.556,0.34782608695652173,0.6521739130434783,0.05434782608695652,92.0,0,2.111975091313174,1.065197211938878
Nicole W,5.11,0.02,0.98,0.05549286653345521,50.0,2,-2.212609083598228,-0.220671777241838
Nikhil Mehra,3.297,0.2549019607843137,0.7450980392156863,0.05456719295921394,51.0,0,0.8872057620587706,0.6972621122196532
Niko Martinovic,3.782,0.2,0.8,0.06436481260943143,55.0,0,0.0663420710352054,0.7967842307834772
Niranjan Das,4.11,0.12308771829078718,0.8769122817092128,0.0845588625055463,26.158398046452987,1,-1.148666761946509,1.1482372453352117
Nishanth Mallekav,4.53,0.15584415584415584,0.8441558441558441,0.03896103896103896,77.0,2,-0.2590925234533424,-0.21417857492032005
Noah Alvardo,4.11,0.10079575596816977,0.8992042440318302,0.07226737967139,110.0,1,-1.3183278384787067,0.6553444091107755
Noe Khlif,6.613,0.2608695652173913,0.7391304347826086,0.057971014492753624,69.0,0,0.9314841741514028,0.8329265715707019
Nolan Smyth,5.352,0.11602420301475011,0.88397579698525,0.033162558847964554,249.0,2,-0.7246669146170795,-0.5649961742395009
Obe J,4.53,0.43157894736842106,0.5684210526315789,0.021052631578947368,285.0,0,3.548750612874857,0.3119167241708254
Obe Temp,4.53,0.2807919621749409,0.7192080378250592,0.022163294869400524,346.0,0,1.5537399493207364,-0.2603893569910373
Oliver Chu,4.668,0.07936507936507936,0.9206349206349206,0.07936507936507936,63.0,1,-1.6716690199551891,0.8014862324220582
Olivia Phillips,5.11,0.17687074829931973,0.8231292517006803,0.026581939038384735,147.0,2,0.14205133214697602,-0.5350705882541729
Oscar Serra,6.025,0.2982456140350877,0.7017543859649122,0.011695906432748537,171.0,0,1.888648625162296,-0.5330410234377413
Oscar V,4.11,0.05309734513274336,0.9469026548672567,0.04479085523793311,113.0,2,-1.6695232455756153,-0.43786206401296773
Osdward Rodriguez,4.691,0.1111111111111111,0.8888888888888888,0.012345679012345678,162.0,2,-0.5799352593542112,-1.2671860533388206
Osiel Aldava,4.11,0.12594156685961871,0.8740584331403813,0.13986275242504492,23.0,1,-1.667352944322225,2.972563360244084
Oyun W,4.546,0.13147498831229545,0.8685250116877046,0.0214923649344112,281.0,2,-0.4040115732791877,-0.8851599628181062
Pablo Tellez,6.444999999999999,0.18773930369143169,0.8122606963085683,0.038594547016845365,2142.0466600703767,2,0.1642243840481648,-0.09743417743744502
Pablow Tellez,6.11,0.1383325173305624,0.8616674826694377,0.06879126939821126,121.00310118380168,1,-0.7895108511352393,0.6929333215085267
Padma Gopi,2.929,0.15,0.85,0.05555555555555555,180.0,2,-0.5028851866743286,0.3061805505899185
Pam Blank,4.11,0.24120915032679738,0.7587908496732026,0.03730392156862745,132.0,0,0.8806850870494572,0.07611303678622096
Pam Lippy,4.761,0.21604938271604937,0.7839506172839507,0.012345679012345678,162.0,0,0.8006927051819448,-0.8435603852529984
Parris Todd,6.192,0.1944193809617607,0.8055806190382393,0.04692715223990788,1104.200817044747,0,0.1683039913487811,0.2026669948712326
Pat Smith,6.079,0.3142857142857143,0.6857142857142857,0.08571428571428572,70.0,0,1.3552225439003716,1.9579586908409614
